,Episode,Action,Pole_Angle,Pole_Angular_Velocity,Q_Value
0,0,0,0.013269094558410327,-0.020998265615229175,20.472217559814453
1,0,1,0.012849129246105744,0.27584150116514483,20.468461990356445
2,0,1,0.018365959269408642,-0.012761263890737895,20.46876335144043
3,0,0,0.018110733991593884,-0.29959339736710877,20.48016357421875
4,0,0,0.012118866044251709,-0.0012541616288912483,20.472736358642578
5,0,1,0.012093782811673883,0.295227643206356,20.46875762939453
6,0,1,0.017998335675801003,0.00638331152923266,20.469635009765625
7,0,0,0.001165093444984137,-0.27087926297969483,20.485572814941406
8,0,0,-0.00425249181460976,0.022170912093075923,20.484119415283203
9,0,1,-0.0038090735727482413,0.31350910111343033,20.463088989257812
10,0,0,0.002461108449520366,0.01962735116884018,20.479341506958008
11,0,1,0.0028536554728971694,0.31308576909802915,20.465682983398438
12,0,0,0.009115370854857752,0.021304160368512515,20.474435806274414
13,0,1,0.009541454062228002,0.3168490957667317,20.468414306640625
14,0,0,0.015878435977562635,0.02719041886593654,20.468900680541992
15,0,1,0.016422244354881366,0.32484057203424116,20.47135353088379
16,0,1,0.02291905579556619,0.03738143318561332,20.473833084106445
17,0,0,0.023666684459278456,-0.24798309844844402,20.474220275878906
18,0,1,0.018707022490309574,0.05206987104691008,20.47038459777832
19,0,0,0.019748419911247775,-0.23465262836725181,20.47501564025879
20,0,0,0.01633923877643413,-0.22370152926889303,20.475749969482422
21,0,0,0.01186520819105627,0.07409031622208961,20.468524932861328
22,0,1,0.013347014515498062,0.3704930224520024,20.46935272216797
23,0,1,0.02075687496453811,0.08204826456641867,20.471817016601562
24,0,0,0.022397840255866483,-0.20401422417522613,20.471771240234375
25,0,1,0.01831755577236196,0.09564913077205323,20.469627380371094
26,0,0,0.02023053838780302,-0.19119880954199275,20.471590042114258
27,0,1,0.016406562196963168,0.10779673688399921,20.46770477294922
28,0,1,0.0173454989963694,0.4161830198135671,20.469255447387695
29,0,1,0.028249529163538466,0.4296879209948561,20.471628189086914
30,0,1,0.03976413933054763,0.4501174283049039,20.472497940063477
31,0,1,0.048766487896645706,0.17022921660180695,20.48828125
32,0,1,0.05217107222868184,-0.10667934788264843,20.499855041503906
33,0,1,0.05003748527102887,-0.3824569003267425,20.515031814575195
34,0,1,0.042388347264494024,-0.6589527324600992,20.52185821533203
35,0,1,0.029209292615292037,-0.9379929598989583,20.526874542236328
